landmark_id,x_norm,y_norm,z_norm,x_px,y_px,z_approx_px
151,0.518603503704071,0.2924012243747711,-0.09160315245389938,116,65,-20
152,0.5015029907226562,0.9407598972320557,0.08278445899486542,112,210,18
153,0.37532952427864075,0.48184719681739807,-0.054329682141542435,84,107,-12
154,0.39644306898117065,0.4749482274055481,-0.04503699764609337,88,106,-10
155,0.4100051522254944,0.4715665876865387,-0.03673261031508446,91,105,-8
156,0.19084833562374115,0.43620291352272034,-0.0443510040640831,42,97,-9
157,0.3899882137775421,0.45325082540512085,-0.053818609565496445,87,101,-12
158,0.3634600043296814,0.44696927070617676,-0.06557892262935638,81,100,-14
159,0.3377021849155426,0.4472556412220001,-0.07220257073640823,75,100,-16
160,0.3107700049877167,0.45294487476348877,-0.07256077975034714,69,101,-16
161,0.2928982079029083,0.4601587653160095,-0.06777650862932205,65,103,-15
162,0.10883814096450806,0.4029269814491272,0.06677954643964767,24,90,14
163,0.303877055644989,0.4841874837875366,-0.05943065509200096,68,108,-13
164,0.5498698949813843,0.7030508518218994,-0.059445664286613464,123,157,-13
165,0.4446507692337036,0.7253976464271545,-0.06005561351776123,99,162,-13
166,0.4805215001106262,0.6620663404464722,-0.09234028309583664,107,148,-20
167,0.50960373878479,0.7119391560554504,-0.06874646246433258,114,159,-15
168,0.5236744284629822,0.4433524012565613,-0.07583720237016678,117,99,-16
169,0.3077576458454132,0.8674880266189575,0.05979221314191818,68,194,13
170,0.3514641523361206,0.8934508562088013,0.05178525298833847,78,200,11
171,0.4545970559120178,0.9349527359008789,0.034622449427843094,101,209,7
172,0.1971007138490677,0.8021194934844971,0.14063800871372223,44,179,31
173,0.40826380252838135,0.4635993242263794,-0.04261545464396477,91,103,-9
174,0.4914788007736206,0.5438174605369568,-0.09609320759773254,110,121,-21
175,0.5133084058761597,0.9315172433853149,0.048277370631694794,114,208,10
176,0.39665505290031433,0.9322938323020935,0.06941045820713043,88,208,15
