имя_файла,дата_обработки,форма_лба,положение_бровей,форма_головы,ошибка,соотношение_лба,средняя_высота_бровей,соотношение_головы
Алла Клакевич (2).jpg,2025-04-17 15:48:36,прямоугольный,высокие,горизонтальная,,10.6,20.6,1.23
Алла Клакевич (3).jpg,2025-04-17 15:48:36,прямоугольный,высокие,горизонтальная,,10.64,27.5,1.22
Алла Клакевич (4).jpg,2025-04-17 15:48:36,прямоугольный,высокие,горизонтальная,,12.42,28.4,1.29
Алла Клакевич (5).jpg,2025-04-17 15:48:36,прямоугольный,низкие,горизонтальная,,10.1,13.4,1.19
Алла Клакевич (6).jpg,2025-04-17 15:48:36,прямоугольный,высокие,горизонтальная,,13.17,38.8,1.31
Алла Клакевич (7).jpg,2025-04-17 15:48:36,прямоугольный,высокие,горизонтальная,,5.76,38.9,1.02
Алла Клакевич (8).jpg,2025-04-17 15:48:36,прямоугольный,высокие,горизонтальная,,20.11,44.5,1.55
Алла Клакевич (9).jpg,2025-04-17 15:48:36,прямоугольный,высокие,горизонтальная,,11.11,25.8,1.24
Алла Курилова (1).jpg,2025-04-17 15:48:36,прямоугольный,высокие,горизонтальная,,6.62,32.4,1.06
Алла Курилова (10).jpg,2025-04-17 15:48:36,прямоугольный,высокие,горизонтальная,,8.23,88.5,1.14
Алла Курилова (11).jpg,2025-04-17 15:48:36,прямоугольный,высокие,горизонтальная,,7.5,41.5,1.11
Алла Курилова (12).jpg,2025-04-17 15:48:36,прямоугольный,высокие,горизонтальная,,5.6,21.5,1.01
Алла Курилова (13).jpg,2025-04-17 15:48:36,прямоугольный,высокие,горизонтальная,,9.96,25.9,1.21
Алла Курилова (14).jpg,2025-04-17 15:48:36,прямоугольный,высокие,горизонтальная,,8.41,97.5,1.15
Алла Курилова (15).jpg,2025-04-17 15:48:36,прямоугольный,высокие,горизонтальная,,4.1,42.4,0.93
Алла Курилова (16).jpg,2025-04-17 15:48:36,прямоугольный,высокие,горизонтальная,,10.48,84.8,1.24
Алла Курилова (17).jpg,2025-04-17 15:48:36,прямоугольный,высокие,горизонтальная,,9.16,59.6,1.19
Алла Курилова (2).jpg,2025-04-17 15:48:36,прямоугольный,высокие,горизонтальная,,17.62,96.1,1.47
Алла Курилова (3).jpg,2025-04-17 15:48:36,прямоугольный,высокие,горизонтальная,,11.55,103.0,1.28
Алла Курилова (4).jpg,2025-04-17 15:48:36,прямоугольный,высокие,горизонтальная,,6.79,26.0,1.08
Алла Курилова (5).jpg,2025-04-17 15:48:36,прямоугольный,высокие,горизонтальная,,13.74,45.7,1.09
Алла Курилова (6).jpg,2025-04-17 15:48:36,прямоугольный,высокие,горизонтальная,,8.62,23.4,1.16
Алла Курилова (7).jpg,2025-04-17 15:48:36,прямоугольный,высокие,горизонтальная,,6.45,57.3,1.05
Алла Курилова (8).jpg,2025-04-17 15:48:36,прямоугольный,высокие,горизонтальная,,8.52,38.8,1.15
Алла Курилова (9).jpg,2025-04-17 15:48:36,прямоугольный,высокие,горизонтальная,,10.75,54.3,1.25
Алла Плаксина.jpg,2025-04-17 15:48:36,прямоугольный,высокие,горизонтальная,,7.06,59.8,1.1
анастасия луппов8а.jpg,2025-04-17 15:48:36,прямоугольный,высокие,горизонтальная,,21.61,23.5,1.74
анастасия луппов8аф.jpg,2025-04-17 15:48:36,прямоугольный,высокие,горизонтальная,,9.57,16.7,1.19
анастасия луппов8ра.jpg,2025-04-17 15:48:36,прямоугольный,высокие,горизонтальная,,14.0,21.8,1.3
анастасия луппова.jpg,2025-04-17 15:48:36,прямоугольный,высокие,горизонтальная,,7.24,19.0,1.1
анастасия луппова1.jpg,2025-04-17 15:48:36,прямоугольный,высокие,горизонтальная,,10.75,20.1,1.24
анастасия луппова10.jpg,2025-04-17 15:48:36,прямоугольный,высокие,горизонтальная,,12.38,22.9,1.26
анастасия луппова3.jpg,2025-04-17 15:48:36,прямоугольный,высокие,горизонтальная,,5.42,22.4,1.0
анастасия луппова6.jpg,2025-04-17 15:48:36,прямоугольный,высокие,горизонтальная,,6.72,22.1,1.07
анастасия луппова7.jpg,2025-04-17 15:48:36,прямоугольный,высокие,горизонтальная,,13.5,22.6,1.29
анастасия луппова8р.jpg,2025-04-17 15:48:36,прямоугольный,высокие,вертикальная,,6.73,16.8,0.54
анастасия луппова9ь.jpg,2025-04-17 15:48:36,прямоугольный,низкие,горизонтальная,,3.47,14.7,0.89
Антонова (1).jpg,2025-04-17 15:48:36,прямоугольный,высокие,горизонтальная,,7.3,26.2,1.1
Антонова (2).jpg,2025-04-17 15:48:36,прямоугольный,высокие,горизонтальная,,8.68,28.7,1.15
Антонова (3).jpg,2025-04-17 15:48:36,прямоугольный,высокие,горизонтальная,,8.13,22.6,1.11
Аршавин3.jpg,2025-04-17 15:48:36,прямоугольный,высокие,горизонтальная,,10.98,17.2,0.88
Аршавин356.jpg,2025-04-17 15:48:36,прямоугольный,высокие,горизонтальная,,8.61,17.0,1.14
Аршавин38.jpg,2025-04-17 15:48:36,прямоугольный,высокие,горизонтальная,,8.16,17.8,1.14
Аршавин3и.jpg,2025-04-17 15:48:36,прямоугольный,низкие,вертикальная,,8.84,11.6,0.51
Аршавин3м.jpg,2025-04-17 15:48:36,прямоугольный,низкие,горизонтальная,,7.85,14.4,1.11
Аршавин5.jpg,2025-04-17 15:48:36,прямоугольный,высокие,горизонтальная,,8.43,16.8,1.14
Аршавин6.jpg,2025-04-17 15:48:36,прямоугольный,высокие,горизонтальная,,15.56,18.9,1.39
Аршавин64.jpg,2025-04-17 15:48:36,прямоугольный,высокие,горизонтальная,,8.75,16.3,1.14
Аршавин78.jpg,2025-04-17 15:48:36,прямоугольный,низкие,горизонтальная,,3.72,12.1,0.91
Аршавин89.jpg,2025-04-17 15:48:36,прямоугольный,низкие,горизонтальная,,8.07,14.8,1.13
Аршавинг.jpg,2025-04-17 15:48:36,прямоугольный,высокие,горизонтальная,,10.0,15.2,1.2
Аугуст Билле.jpg,2025-04-17 15:48:36,прямоугольный,низкие,горизонтальная,,7.46,15.0,1.11
Аугуст Билле4.jpg,2025-04-17 15:48:36,прямоугольный,высокие,горизонтальная,,4.83,16.2,0.97
Аугуст Билле7.jpg,2025-04-17 15:48:36,прямоугольный,высокие,горизонтальная,,9.96,17.0,1.2
билле аугуст.jpg,2025-04-17 15:48:36,прямоугольный,высокие,горизонтальная,,7.2,18.6,1.08
билле аугуст1.jpg,2025-04-17 15:48:37,прямоугольный,высокие,горизонтальная,,8.09,19.4,1.12
Бирюкова.jpg,2025-04-17 15:48:37,прямоугольный,высокие,горизонтальная,,19.12,25.8,1.54
Благодадских С (1).jpg,2025-04-17 15:48:37,прямоугольный,высокие,горизонтальная,,8.83,15.6,1.17
Благодадских С (2).jpg,2025-04-17 15:48:37,прямоугольный,низкие,горизонтальная,,13.2,9.8,1.31
Благодадских С (3).jpg,2025-04-17 15:48:37,прямоугольный,высокие,горизонтальная,,9.01,15.7,1.17
Будаев И (1).jpg,2025-04-17 15:48:37,прямоугольный,высокие,горизонтальная,,7.85,39.2,1.11
Будаев И (2).jpg,2025-04-17 15:48:37,прямоугольный,высокие,горизонтальная,,13.67,95.7,1.34
Будаев И (3).jpg,2025-04-17 15:48:37,прямоугольный,высокие,горизонтальная,,9.84,25.3,1.2
ВалШевченко РГППУ.jpg,2025-04-17 15:48:37,прямоугольный,высокие,горизонтальная,,10.67,19.7,1.2
верижников.jpg,2025-04-17 15:48:37,прямоугольный,высокие,горизонтальная,,7.28,16.9,1.09
